EmpiricialRegret,length_scale,K,method
0.5477578983260192,1,10,epsilon
0.6048365242949655,1,10,ucb
1.2213345959673874,1,10,ts
0.365788787801846,3,10,epsilon
0.36192527800923313,3,10,ucb
1.1322164457095218,3,10,ts
0.25732586021213594,5,10,epsilon
0.516593762033857,5,10,ucb
0.8207713145798325,5,10,ts
0.20842492697872345,100,10,epsilon
0.29670156682809,100,10,ucb
0.8697310116150485,100,10,ts
0.3899361410413782,1,10,epsilon
0.5392965420460347,1,10,ucb
1.1303411965079306,1,10,ts
0.36543021715227675,3,10,epsilon
0.6370202050355044,3,10,ucb
1.0376366606081844,3,10,ts
0.31906186471357806,5,10,epsilon
0.2546866602599088,5,10,ucb
0.9647871603332678,5,10,ts
0.21606306315180895,100,10,epsilon
0.23298002311375948,100,10,ucb
0.8833845866130384,100,10,ts
0.5675388810535866,1,10,epsilon
0.4523960258971357,1,10,ucb
1.1378589611493337,1,10,ts
0.3512108179726729,3,10,epsilon
0.35645108094130856,3,10,ucb
0.8879467201036143,3,10,ts
0.2998488545201256,5,10,epsilon
0.5915780506597189,5,10,ucb
1.0671332212760427,5,10,ts
0.24588592111055124,100,10,epsilon
0.28788710988108757,100,10,ucb
0.8845039016724934,100,10,ts
0.23347311626997824,1,20,epsilon
0.33005925596667635,1,20,ucb
1.0387807762291996,1,20,ts
0.14927132773113705,3,20,epsilon
0.25932869573275785,3,20,ucb
0.963573543198978,3,20,ts
0.12255474934860769,5,20,epsilon
0.2540740006788803,5,20,ucb
0.9029023674869276,5,20,ts
0.0811140403107026,100,20,epsilon
0.31444798612825303,100,20,ucb
0.905943691958089,100,20,ts
0.17929938135634482,1,20,epsilon
0.27906233224756566,1,20,ucb
1.082567430903658,1,20,ts
0.26250489514929637,3,20,epsilon
0.2823002345263001,3,20,ucb
0.9497498603207514,3,20,ts
0.09448883656892919,5,20,epsilon
0.2718148339054134,5,20,ucb
0.924757752895609,5,20,ts
0.1242744222984868,100,20,epsilon
0.2579080364294328,100,20,ucb
0.7131965840340038,100,20,ts
0.18497577845445762,1,20,epsilon
0.21405599838794612,1,20,ucb
0.8761350832694192,1,20,ts
0.13936381676944137,3,20,epsilon
0.16957550892552134,3,20,ucb
0.6337103415646554,3,20,ts
0.11274927509831013,5,20,epsilon
0.14132836639162322,5,20,ucb
0.8974817627461864,5,20,ts
0.07075247997951166,100,20,epsilon
0.2930492247515492,100,20,ucb
0.7489127871152984,100,20,ts
