EmpiricialRegret,length_scale,K,method
0.19232217084702646,0.1,5,epsilon
0.1514022531856961,0.1,5,sh
0.47534688023688215,0.1,5,ucb
0.3623431496981925,0.1,5,ts
0.2975481981594836,0.1,5,epsilon
0.15144431726154103,0.1,5,sh
0.6303014113693725,0.1,5,ucb
0.17157702401567607,0.1,5,ts
0.33968053093914374,0.1,5,epsilon
0.15679222464287487,0.1,5,sh
0.37457287762194685,0.1,5,ucb
0.3207782566603607,0.1,5,ts
0.37149347390209203,0.1,5,epsilon
0.17359993609274724,0.1,5,sh
0.5580306909641988,0.1,5,ucb
0.2728697811306811,0.1,5,ts
0.31896336766450817,0.1,5,epsilon
0.1525311425201641,0.1,5,sh
0.29344533352021296,0.1,5,ucb
0.4047751441011286,0.1,5,ts
0.21929336396711369,0.1,5,epsilon
0.15623808684788362,0.1,5,sh
0.5565629704770972,0.1,5,ucb
0.29576204097150194,0.1,5,ts
0.2570071904049242,0.1,5,epsilon
0.15224768833635657,0.1,5,sh
0.4093828824435406,0.1,5,ucb
0.24014583615728455,0.1,5,ts
0.2570060821139416,0.1,5,epsilon
0.15905611988054866,0.1,5,sh
0.20200882709598977,0.1,5,ucb
0.2920888846514851,0.1,5,ts
0.22738574284881538,0.1,5,epsilon
0.152050926021608,0.1,5,sh
0.5046507968323045,0.1,5,ucb
0.3429784772321496,0.1,5,ts
0.30829332201950566,0.1,5,epsilon
0.15577133955689304,0.1,5,sh
0.17044097252581858,0.1,5,ucb
0.42382640008695016,0.1,5,ts
0.1572686709483304,0.1,5,epsilon
0.16982035291885167,0.1,5,sh
0.40637263753870023,0.1,5,ucb
0.289372341157146,0.1,5,ts
0.22068533043966068,0.1,5,epsilon
0.15200631349145202,0.1,5,sh
0.5591203710411801,0.1,5,ucb
0.3589232225472469,0.1,5,ts
0.1948631964601041,0.1,5,epsilon
0.1599008616935458,0.1,5,sh
0.7138041439621813,0.1,5,ucb
0.345802403723868,0.1,5,ts
0.23220971141834795,0.1,5,epsilon
0.15270947000689478,0.1,5,sh
0.18207121354899558,0.1,5,ucb
0.2509043967113516,0.1,5,ts
0.18565702629889816,0.1,5,epsilon
0.16647570734622427,0.1,5,sh
0.5474918974426792,0.1,5,ucb
0.2550342196122724,0.1,5,ts
0.29133043906127615,0.1,5,epsilon
0.14925453517426487,0.1,5,sh
0.5257971379301023,0.1,5,ucb
0.3346893476632778,0.1,5,ts
0.20984673447259128,0.1,5,epsilon
0.17703647376839016,0.1,5,sh
0.37721932485982906,0.1,5,ucb
0.36530446335268374,0.1,5,ts
0.23442858448507778,0.1,5,epsilon
0.1576294493756881,0.1,5,sh
0.35741786703992606,0.1,5,ucb
0.42339430432637176,0.1,5,ts
0.19925545015410956,0.1,5,epsilon
0.17608252678951292,0.1,5,sh
0.28253338251151694,0.1,5,ucb
0.46854874758779436,0.1,5,ts
0.15127979295935284,0.1,5,epsilon
0.15316097312151913,0.1,5,sh
0.4120797561534069,0.1,5,ucb
0.31768174387869147,0.1,5,ts
0.3271769313094873,0.1,5,epsilon
0.15280412143663707,0.1,5,sh
0.3678400751856453,0.1,5,ucb
0.5857668120532235,0.1,5,ts
0.2547595838417004,0.1,5,epsilon
0.16822728112188012,0.1,5,sh
0.2728719208396503,0.1,5,ucb
0.22694324993779663,0.1,5,ts
0.34569238866710156,0.1,5,epsilon
0.14996823606875928,0.1,5,sh
0.301951719291732,0.1,5,ucb
0.28980265111994924,0.1,5,ts
0.2179359554009715,0.1,5,epsilon
0.18751058035852683,0.1,5,sh
0.2022995931049892,0.1,5,ucb
0.32616384716573965,0.1,5,ts
0.16620809141030907,0.1,5,epsilon
0.1594926098820995,0.1,5,sh
0.22202116518394233,0.1,5,ucb
0.23183293939530666,0.1,5,ts
0.3590849806777764,0.1,5,epsilon
0.14946031860236106,0.1,5,sh
0.28780718484886786,0.1,5,ucb
0.4015389278466165,0.1,5,ts
0.31505621473652473,0.1,5,epsilon
0.16943750498259774,0.1,5,sh
0.7026286998682474,0.1,5,ucb
0.39685918168579287,0.1,5,ts
0.2066054989139247,0.1,5,epsilon
0.15166672065403908,0.1,5,sh
0.26567781668760254,0.1,5,ucb
0.4182530780892348,0.1,5,ts
0.19235999390422606,0.1,5,epsilon
0.15806059779542994,0.1,5,sh
0.24987147900217868,0.1,5,ucb
0.40703570066825,0.1,5,ts
0.32116295121789934,0.1,5,epsilon
0.15198934901889807,0.1,5,sh
0.40747819361928833,0.1,5,ucb
0.3519303250402902,0.1,5,ts
0.3056421396505643,0.1,5,epsilon
0.1516853625041106,0.1,5,sh
0.27101252968930706,0.1,5,ucb
0.335343137608286,0.1,5,ts
0.18567285577353604,0.1,5,epsilon
0.15905085109723532,0.1,5,sh
0.20363485718695207,0.1,5,ucb
0.25265020498911467,0.1,5,ts
0.17826102332456378,0.1,5,epsilon
0.1541134894651649,0.1,5,sh
0.23513581269706957,0.1,5,ucb
0.30601859808995824,0.1,5,ts
0.22971877560133744,0.1,5,epsilon
0.152424325020275,0.1,5,sh
0.3688454851796125,0.1,5,ucb
0.27820600533009937,0.1,5,ts
0.26091236453503397,0.1,5,epsilon
0.1523950237892943,0.1,5,sh
0.2097490538956651,0.1,5,ucb
0.23437299230983305,0.1,5,ts
0.27391853241774516,0.1,5,epsilon
0.1578583646895546,0.1,5,sh
0.25297562281410485,0.1,5,ucb
0.4038014722866554,0.1,5,ts
0.20923270079617032,0.1,5,epsilon
0.17291921125305781,0.1,5,sh
0.3927414478604842,0.1,5,ucb
0.4644605354363308,0.1,5,ts
0.256344965374039,0.1,5,epsilon
0.15047947163317885,0.1,5,sh
0.2539470750539067,0.1,5,ucb
0.3105700244016486,0.1,5,ts
0.3016810149793175,0.1,5,epsilon
0.15161830617010563,0.1,5,sh
0.36594357255315596,0.1,5,ucb
0.23426700558241023,0.1,5,ts
0.22116444397880125,0.1,5,epsilon
0.15696394175396025,0.1,5,sh
0.2605793612557043,0.1,5,ucb
0.3091588810595956,0.1,5,ts
0.31145921308645963,0.1,5,epsilon
0.1527566570374161,0.1,5,sh
0.36807301558735916,0.1,5,ucb
0.5831092722684564,0.1,5,ts
0.22197918939264488,0.1,5,epsilon
0.16655046086074046,0.1,5,sh
0.29483406153319996,0.1,5,ucb
0.3516558910401511,0.1,5,ts
0.2567669855684934,0.1,5,epsilon
0.15329469802744378,0.1,5,sh
0.4115266925092174,0.1,5,ucb
0.6487247355573675,0.1,5,ts
0.2561035543029892,0.1,5,epsilon
